85,Mason Taylor,21,TE,,,253,,LSU,5/8/2004,Rook,,New York Jets / 2nd / 42nd pick / 2025,TaylMa02
2,Tyrod Taylor,36,QB,,,217,6-1,Virginia Tech,8/3/1989,14,,Baltimore Ravens / 6th / 180th pick / 2011,TaylTy00
23,Azareye'h Thomas,21,CB,,,194,,Florida St.,7/6/2004,Rook,,New York Jets / 3rd / 73rd pick / 2025,ThomAz00
66,Joe Tippmann,24,OL,,,313,6-6,Wisconsin,3/24/2001,2,,New York Jets / 2nd / 43rd pick / 2023,TippJo00
38,Lawrance Toafili,,RB,,,185,6-0,Florida State,,Rook,,,-9999
78,Jay Tufele,26,DT,,,305,6-3,USC,7/25/1999,4,,Jacksonville Jaguars / 4th / 106th pick / 2021,TufeJa00
75,Alijah Vera-Tucker,26,OL,,,308,6-5,USC,6/17/1999,4,,New York Jets / 1st / 14th pick / 2021,VeraAl00
67,Carter Warren,26,OL,,,311,6-5,Pittsburgh,1/19/1999,2,,New York Jets / 4th / 120th pick / 2023,WarrCa00
58,Eric Watts,25,DL,,,277,6-5,Connecticut,10/1/2000,1,,,WattEr00
99,Rashad Weaver,28,DL,,,259,6-4,Pittsburgh,11/10/1997,4,,Tennessee Titans / 4th / 135th pick / 2021,WeavRa00
54,Ja'Markis Weston,,LB,,,235,6-2,Florida,,Rook,,,-9999
64,Leander Wiegand,26,OL,,,291,6-5,UCF,8/24/1999,Rook,,,-9999
56,Quincy Williams,29,LB,,,230,5-11,Murray St.,8/28/1996,6,,Jacksonville Jaguars / 3rd / 98th pick / 2019,WillQu01
95,Quinnen Williams,28,DL,,,303,6-3,Alabama,12/21/1997,6,,New York Jets / 1st / 3rd pick / 2019,WillQu00
5,Garrett Wilson,25,WR,,,183,6-0,Ohio St.,7/22/2000,3,,New York Jets / 1st / 10th pick / 2022,WilsGa00
81,Pokey Wilson,,WR,,,175,6-0,Florida State,,Rook,,,WilsPo00
19,Irvin Charles (PUP),28,WR,,,219,6-4,Penn St.Indiana (PA),4/13/1997,2,,,CharIr00
,Gus Hartwig (IR),,C,,,305,,Purdue,,Rook,,,HartGu00
